2026-09-10T17:41:31.194921+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:41:31.194761Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 47950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:42:31.194850+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:42:31.194784Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 50950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:43:17.476034+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:43:17.475989Z  INFO raydio::session: track finished generation=5 position_ms=212780
2026-09-10T17:43:17.477826+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:43:17.477799Z  INFO raydio::session: track started generation=6
2026-09-10T17:43:31.195253+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:43:31.195182Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 53950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:44:31.195327+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:44:31.195178Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 56950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:45:31.194991+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:45:31.194922Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 59950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:46:31.195201+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:46:31.195127Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 62950, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 22, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 41.958326ms, last_active_send_gap_unix_ms: 1789062043115 } })
2026-09-10T17:46:50.536768+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:46:50.536711Z  INFO raydio::session: track finished generation=6 position_ms=212720
2026-09-10T17:46:50.538188+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:46:50.538154Z  INFO raydio::session: track started generation=7
