2026-09-09T08:59:16.573330+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:59:16.573210Z  INFO raydio::session: track finished generation=7 position_ms=212300
2026-09-09T08:59:16.575897+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:59:16.575477Z  INFO raydio::session: track started generation=8
2026-09-09T08:59:23.803566+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:59:23.803477Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 74932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:00:23.803713+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:00:23.803596Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 77922, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:01:23.802870+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:01:23.802786Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 80921, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:02:23.803006+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:02:23.802936Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 83921, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:02:49.856339+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:02:49.856248Z  INFO raydio::session: track finished generation=8 position_ms=213020
2026-09-09T09:02:49.862051+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:02:49.858239Z  INFO raydio::session: track started generation=9
2026-09-09T09:03:23.802932+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:03:23.802873Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(9), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 86921, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:04:23.803146+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:04:23.803082Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(9), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 89921, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:05:23.802742+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:05:23.802630Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(9), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 92921, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:06:22.936905+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:06:22.936806Z  INFO raydio::session: track finished generation=9 position_ms=212940
2026-09-09T09:06:22.939037+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:06:22.939012Z  INFO raydio::session: track started generation=10
2026-09-09T09:06:23.803000+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:06:23.802941Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(10), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 95920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:07:23.803368+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:07:23.803284Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(10), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 98920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:08:23.803035+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:08:23.802915Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(10), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 101920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:09:23.803338+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:09:23.803252Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(10), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 104920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:09:55.996431+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:09:55.996391Z  INFO raydio::session: track finished generation=10 position_ms=212880
2026-09-09T09:09:55.998963+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:09:55.998928Z  INFO raydio::session: track started generation=11
2026-09-09T09:10:23.802891+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:10:23.802757Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(11), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 107920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:11:23.803685+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:11:23.803556Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(11), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 110920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:12:23.802864+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:12:23.802805Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(11), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 113920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:13:23.803559+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:13:23.803418Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(11), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 116920, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 29, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T09:13:29.056183+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:13:29.056137Z  INFO raydio::session: track finished generation=11 position_ms=212820
2026-09-09T09:13:29.058434+00:00 raydio-vnic raydio[5601]: 2026-09-09T09:13:29.058404Z  INFO raydio::session: track started generation=12
